ID,physical,cyclic,LE,DLC
130,9 21 25 32,52 54,0,8
140,9 16,,0,8
153,,49 52,0,8
164,,57 59 60 61 62 63 52 55,0,4
220,12 16 32 38 41 51 54 62,,1,8
251,13 24 54 64,41 48,1,8
260,9 16 17 24 42 48 49 55,,0,8
2B0,26 32 33 48,13 16,1,6
329,41 48 49 54,1 2 4 8,0,8
340,,33 36 50 53,0,8
356,33 37,,0,8
366,25 32 35 47 49 56 12 16 19 23,,1,7
367,3 16,,1,8
368,11 22 52 56,,1,8
381,18 24,40 48,0,8
386,23 31 39 48 55 64,33 34 49 50,1,8
387,,1 6 9 14 17 22 25 30,0,8
389,,49 52 53 56,0,8
38D,,34 37 58 62,0,8
391,,57 60 61 62 53 56 63 64,0,8
394,22 32,49 51,1,8
420,,1 4,0,8
42D,42 47,,0,8
453,,,0,5
470,,,0,8
47F,,56 58 59 61 9 16,0,8
484,16 21 26 32,3 6,0,8
48A,,57 58 59 60 63 64 17 19,0,8
490,,58 59 61 62 63 64 41 44,0,8
4CB,,,0,8
4F1,19 27,1 4,1,4
500,,53 56 57 59,0,8
50C,,57 60,0,8
52A,52 56 4 8,,0,8
568,28 32,,0,8
58B,,,0,8
5B0,,39 40,0,4
